origin,destination,hour,origin_category,dest_category,multiplier,priority_weight,expected_trips,trips
Alpha Sigma Phi,Main Building,7,Greek Housing,Academic,0.2,0.25,0.4,0
Alpha Sigma Phi,Main Building,8,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,Main Building,9,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,Main Building,10,Greek Housing,Academic,0.5,0.25,1.0,1
Alpha Sigma Phi,Main Building,11,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,Main Building,12,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,Main Building,13,Greek Housing,Academic,0.5,0.25,1.0,1
Alpha Sigma Phi,Main Building,14,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,Main Building,15,Greek Housing,Academic,0.5,0.25,1.0,2
Alpha Sigma Phi,Main Building,16,Greek Housing,Academic,0.5,0.25,1.0,2
Alpha Sigma Phi,Main Building,17,Greek Housing,Academic,0.5,0.25,1.0,1
Alpha Sigma Phi,Main Building,18,Greek Housing,Academic,0.5,0.25,1.0,2
Alpha Sigma Phi,Main Building,19,Greek Housing,Academic,0.2,0.25,0.4,0
Alpha Sigma Phi,Main Building,20,Greek Housing,Academic,0.2,0.25,0.4,1
Alpha Sigma Phi,Main Building,21,Greek Housing,Academic,0.2,0.25,0.4,0
Alpha Sigma Phi,Main Building,22,Greek Housing,Academic,0.2,0.25,0.4,0
Alpha Sigma Phi,McCormick Student Village,7,Greek Housing,Residence,0.2,0.25,0.4,0
Alpha Sigma Phi,McCormick Student Village,8,Greek Housing,Residence,0.5,0.25,1.0,1
Alpha Sigma Phi,McCormick Student Village,9,Greek Housing,Residence,0.5,0.25,1.0,1
Alpha Sigma Phi,McCormick Student Village,10,Greek Housing,Residence,0.5,0.25,1.0,1
Alpha Sigma Phi,McCormick Student Village,11,Greek Housing,Residence,0.5,0.25,1.0,1
Alpha Sigma Phi,McCormick Student Village,12,Greek Housing,Residence,0.5,0.25,1.0,1
Alpha Sigma Phi,McCormick Student Village,13,Greek Housing,Residence,0.5,0.25,1.0,0
Alpha Sigma Phi,McCormick Student Village,14,Greek Housing,Residence,0.5,0.25,1.0,0
Alpha Sigma Phi,McCormick Student Village,15,Greek Housing,Residence,0.5,0.25,1.0,2
Alpha Sigma Phi,McCormick Student Village,16,Greek Housing,Residence,0.5,0.25,1.0,2
Alpha Sigma Phi,McCormick Student Village,17,Greek Housing,Residence,0.5,0.25,1.0,1
Alpha Sigma Phi,McCormick Student Village,18,Greek Housing,Residence,0.5,0.25,1.0,0
Alpha Sigma Phi,McCormick Student Village,19,Greek Housing,Residence,0.2,0.25,0.4,2
Alpha Sigma Phi,McCormick Student Village,20,Greek Housing,Residence,0.2,0.25,0.4,0
Alpha Sigma Phi,McCormick Student Village,21,Greek Housing,Residence,0.2,0.25,0.4,0
Alpha Sigma Phi,McCormick Student Village,22,Greek Housing,Residence,0.2,0.25,0.4,1
Alpha Sigma Phi,McCormick Tribune Campus Center,7,Greek Housing,Student Center,0.2,0.25,0.4,2
Alpha Sigma Phi,McCormick Tribune Campus Center,8,Greek Housing,Student Center,0.5,0.25,1.0,0
Alpha Sigma Phi,McCormick Tribune Campus Center,9,Greek Housing,Student Center,0.5,0.25,1.0,0
Alpha Sigma Phi,McCormick Tribune Campus Center,10,Greek Housing,Student Center,0.5,0.25,1.0,2
Alpha Sigma Phi,McCormick Tribune Campus Center,11,Greek Housing,Student Center,0.5,0.25,1.0,0
Alpha Sigma Phi,McCormick Tribune Campus Center,12,Greek Housing,Student Center,0.5,0.25,1.0,1
Alpha Sigma Phi,McCormick Tribune Campus Center,13,Greek Housing,Student Center,0.5,0.25,1.0,0
Alpha Sigma Phi,McCormick Tribune Campus Center,14,Greek Housing,Student Center,0.5,0.25,1.0,2
Alpha Sigma Phi,McCormick Tribune Campus Center,15,Greek Housing,Student Center,0.5,0.25,1.0,0
Alpha Sigma Phi,McCormick Tribune Campus Center,16,Greek Housing,Student Center,0.5,0.25,1.0,1
Alpha Sigma Phi,McCormick Tribune Campus Center,17,Greek Housing,Student Center,0.5,0.25,1.0,0
Alpha Sigma Phi,McCormick Tribune Campus Center,18,Greek Housing,Student Center,0.5,0.25,1.0,3
Alpha Sigma Phi,McCormick Tribune Campus Center,19,Greek Housing,Student Center,0.2,0.25,0.4,0
Alpha Sigma Phi,McCormick Tribune Campus Center,20,Greek Housing,Student Center,0.2,0.25,0.4,0
Alpha Sigma Phi,McCormick Tribune Campus Center,21,Greek Housing,Student Center,0.2,0.25,0.4,0
Alpha Sigma Phi,McCormick Tribune Campus Center,22,Greek Housing,Student Center,0.2,0.25,0.4,0
Alpha Sigma Phi,Paul Galvin Library,7,Greek Housing,Library,0.1,0.25,0.2,0
Alpha Sigma Phi,Paul Galvin Library,8,Greek Housing,Library,0.1,0.25,0.2,1
Alpha Sigma Phi,Paul Galvin Library,9,Greek Housing,Library,0.1,0.25,0.2,1
Alpha Sigma Phi,Paul Galvin Library,10,Greek Housing,Library,0.6,0.25,1.2,2
Alpha Sigma Phi,Paul Galvin Library,11,Greek Housing,Library,0.6,0.25,1.2,1
Alpha Sigma Phi,Paul Galvin Library,12,Greek Housing,Library,0.6,0.25,1.2,1
Alpha Sigma Phi,Paul Galvin Library,13,Greek Housing,Library,0.6,0.25,1.2,0
Alpha Sigma Phi,Paul Galvin Library,14,Greek Housing,Library,0.6,0.25,1.2,1
Alpha Sigma Phi,Paul Galvin Library,15,Greek Housing,Library,0.6,0.25,1.2,4
Alpha Sigma Phi,Paul Galvin Library,16,Greek Housing,Library,0.6,0.25,1.2,5
Alpha Sigma Phi,Paul Galvin Library,17,Greek Housing,Library,0.6,0.25,1.2,2
Alpha Sigma Phi,Paul Galvin Library,18,Greek Housing,Library,0.6,0.25,1.2,0
Alpha Sigma Phi,Paul Galvin Library,19,Greek Housing,Library,0.6,0.25,1.2,3
Alpha Sigma Phi,Paul Galvin Library,20,Greek Housing,Library,0.6,0.25,1.2,0
Alpha Sigma Phi,Paul Galvin Library,21,Greek Housing,Library,0.6,0.25,1.2,2
Alpha Sigma Phi,Paul Galvin Library,22,Greek Housing,Library,0.6,0.25,1.2,3
Alpha Sigma Phi,Perlstein Hall,7,Greek Housing,Academic,0.2,0.25,0.4,1
Alpha Sigma Phi,Perlstein Hall,8,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,Perlstein Hall,9,Greek Housing,Academic,0.5,0.25,1.0,4
Alpha Sigma Phi,Perlstein Hall,10,Greek Housing,Academic,0.5,0.25,1.0,2
Alpha Sigma Phi,Perlstein Hall,11,Greek Housing,Academic,0.5,0.25,1.0,3
Alpha Sigma Phi,Perlstein Hall,12,Greek Housing,Academic,0.5,0.25,1.0,1
Alpha Sigma Phi,Perlstein Hall,13,Greek Housing,Academic,0.5,0.25,1.0,1
Alpha Sigma Phi,Perlstein Hall,14,Greek Housing,Academic,0.5,0.25,1.0,1
Alpha Sigma Phi,Perlstein Hall,15,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,Perlstein Hall,16,Greek Housing,Academic,0.5,0.25,1.0,1
Alpha Sigma Phi,Perlstein Hall,17,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,Perlstein Hall,18,Greek Housing,Academic,0.5,0.25,1.0,1
Alpha Sigma Phi,Perlstein Hall,19,Greek Housing,Academic,0.2,0.25,0.4,0
Alpha Sigma Phi,Perlstein Hall,20,Greek Housing,Academic,0.2,0.25,0.4,0
Alpha Sigma Phi,Perlstein Hall,21,Greek Housing,Academic,0.2,0.25,0.4,1
Alpha Sigma Phi,Perlstein Hall,22,Greek Housing,Academic,0.2,0.25,0.4,0
Alpha Sigma Phi,Pritzker Science Center,7,Greek Housing,Academic,0.2,0.25,0.4,0
Alpha Sigma Phi,Pritzker Science Center,8,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,Pritzker Science Center,9,Greek Housing,Academic,0.5,0.25,1.0,1
Alpha Sigma Phi,Pritzker Science Center,10,Greek Housing,Academic,0.5,0.25,1.0,3
Alpha Sigma Phi,Pritzker Science Center,11,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,Pritzker Science Center,12,Greek Housing,Academic,0.5,0.25,1.0,1
Alpha Sigma Phi,Pritzker Science Center,13,Greek Housing,Academic,0.5,0.25,1.0,1
Alpha Sigma Phi,Pritzker Science Center,14,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,Pritzker Science Center,15,Greek Housing,Academic,0.5,0.25,1.0,3
Alpha Sigma Phi,Pritzker Science Center,16,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,Pritzker Science Center,17,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,Pritzker Science Center,18,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,Pritzker Science Center,19,Greek Housing,Academic,0.2,0.25,0.4,0
Alpha Sigma Phi,Pritzker Science Center,20,Greek Housing,Academic,0.2,0.25,0.4,1
Alpha Sigma Phi,Pritzker Science Center,21,Greek Housing,Academic,0.2,0.25,0.4,0
Alpha Sigma Phi,Pritzker Science Center,22,Greek Housing,Academic,0.2,0.25,0.4,2
Alpha Sigma Phi,Rowe Village Middle,7,Greek Housing,Residence,0.2,0.1875,0.3,0
Alpha Sigma Phi,Rowe Village Middle,8,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Rowe Village Middle,9,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Rowe Village Middle,10,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Rowe Village Middle,11,Greek Housing,Residence,0.5,0.1875,0.75,1
Alpha Sigma Phi,Rowe Village Middle,12,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Rowe Village Middle,13,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Rowe Village Middle,14,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Rowe Village Middle,15,Greek Housing,Residence,0.5,0.1875,0.75,2
Alpha Sigma Phi,Rowe Village Middle,16,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Rowe Village Middle,17,Greek Housing,Residence,0.5,0.1875,0.75,1
Alpha Sigma Phi,Rowe Village Middle,18,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Rowe Village Middle,19,Greek Housing,Residence,0.2,0.1875,0.3,0
Alpha Sigma Phi,Rowe Village Middle,20,Greek Housing,Residence,0.2,0.1875,0.3,0
Alpha Sigma Phi,Rowe Village Middle,21,Greek Housing,Residence,0.2,0.1875,0.3,0
Alpha Sigma Phi,Rowe Village Middle,22,Greek Housing,Residence,0.2,0.1875,0.3,0
Alpha Sigma Phi,S.R. Crown Hall,7,Greek Housing,Academic,0.2,0.25,0.4,0
Alpha Sigma Phi,S.R. Crown Hall,8,Greek Housing,Academic,0.5,0.25,1.0,1
Alpha Sigma Phi,S.R. Crown Hall,9,Greek Housing,Academic,0.5,0.25,1.0,2
Alpha Sigma Phi,S.R. Crown Hall,10,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,S.R. Crown Hall,11,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,S.R. Crown Hall,12,Greek Housing,Academic,0.5,0.25,1.0,1
Alpha Sigma Phi,S.R. Crown Hall,13,Greek Housing,Academic,0.5,0.25,1.0,2
Alpha Sigma Phi,S.R. Crown Hall,14,Greek Housing,Academic,0.5,0.25,1.0,1
Alpha Sigma Phi,S.R. Crown Hall,15,Greek Housing,Academic,0.5,0.25,1.0,1
Alpha Sigma Phi,S.R. Crown Hall,16,Greek Housing,Academic,0.5,0.25,1.0,1
Alpha Sigma Phi,S.R. Crown Hall,17,Greek Housing,Academic,0.5,0.25,1.0,2
Alpha Sigma Phi,S.R. Crown Hall,18,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,S.R. Crown Hall,19,Greek Housing,Academic,0.2,0.25,0.4,0
Alpha Sigma Phi,S.R. Crown Hall,20,Greek Housing,Academic,0.2,0.25,0.4,0
Alpha Sigma Phi,S.R. Crown Hall,21,Greek Housing,Academic,0.2,0.25,0.4,0
Alpha Sigma Phi,S.R. Crown Hall,22,Greek Housing,Academic,0.2,0.25,0.4,1
Alpha Sigma Phi,The Commons,7,Greek Housing,Dining,0.5,0.25,1.0,0
Alpha Sigma Phi,The Commons,8,Greek Housing,Dining,0.5,0.25,1.0,1
Alpha Sigma Phi,The Commons,9,Greek Housing,Dining,0.5,0.25,1.0,1
Alpha Sigma Phi,The Commons,10,Greek Housing,Dining,0.2,0.25,0.4,0
Alpha Sigma Phi,The Commons,11,Greek Housing,Dining,1.0,0.25,2.0,5
Alpha Sigma Phi,The Commons,12,Greek Housing,Dining,1.0,0.25,2.0,1
Alpha Sigma Phi,The Commons,13,Greek Housing,Dining,1.0,0.25,2.0,3
Alpha Sigma Phi,The Commons,14,Greek Housing,Dining,0.2,0.25,0.4,1
Alpha Sigma Phi,The Commons,15,Greek Housing,Dining,0.2,0.25,0.4,2
Alpha Sigma Phi,The Commons,16,Greek Housing,Dining,0.2,0.25,0.4,1
Alpha Sigma Phi,The Commons,17,Greek Housing,Dining,1.0,0.25,2.0,0
Alpha Sigma Phi,The Commons,18,Greek Housing,Dining,1.0,0.25,2.0,3
Alpha Sigma Phi,The Commons,19,Greek Housing,Dining,1.0,0.25,2.0,2
Alpha Sigma Phi,The Commons,20,Greek Housing,Dining,0.2,0.25,0.4,1
Alpha Sigma Phi,The Commons,21,Greek Housing,Dining,0.2,0.25,0.4,0
Alpha Sigma Phi,The Commons,22,Greek Housing,Dining,0.2,0.25,0.4,2
Arthur S. Keating Sports Center,Alpha Sigma Phi,7,Recreation,Greek Housing,0.2,0.1875,0.3,0
Arthur S. Keating Sports Center,Alpha Sigma Phi,8,Recreation,Greek Housing,0.5,0.1875,0.75,0
Arthur S. Keating Sports Center,Alpha Sigma Phi,9,Recreation,Greek Housing,0.5,0.1875,0.75,0
Arthur S. Keating Sports Center,Alpha Sigma Phi,10,Recreation,Greek Housing,0.5,0.1875,0.75,0
Arthur S. Keating Sports Center,Alpha Sigma Phi,11,Recreation,Greek Housing,0.5,0.1875,0.75,2
Arthur S. Keating Sports Center,Alpha Sigma Phi,12,Recreation,Greek Housing,0.5,0.1875,0.75,1
Arthur S. Keating Sports Center,Alpha Sigma Phi,13,Recreation,Greek Housing,0.5,0.1875,0.75,1
Arthur S. Keating Sports Center,Alpha Sigma Phi,14,Recreation,Greek Housing,0.5,0.1875,0.75,1
Arthur S. Keating Sports Center,Alpha Sigma Phi,15,Recreation,Greek Housing,0.5,0.1875,0.75,1
Arthur S. Keating Sports Center,Alpha Sigma Phi,16,Recreation,Greek Housing,0.5,0.1875,0.75,0
Arthur S. Keating Sports Center,Alpha Sigma Phi,17,Recreation,Greek Housing,0.5,0.1875,0.75,0
Arthur S. Keating Sports Center,Alpha Sigma Phi,18,Recreation,Greek Housing,0.5,0.1875,0.75,1
Arthur S. Keating Sports Center,Alpha Sigma Phi,19,Recreation,Greek Housing,0.2,0.1875,0.3,0
Arthur S. Keating Sports Center,Alpha Sigma Phi,20,Recreation,Greek Housing,0.2,0.1875,0.3,0
Arthur S. Keating Sports Center,Alpha Sigma Phi,21,Recreation,Greek Housing,0.2,0.1875,0.3,0
Arthur S. Keating Sports Center,Alpha Sigma Phi,22,Recreation,Greek Housing,0.2,0.1875,0.3,0
Arthur S. Keating Sports Center,Chemistry Research Building,7,Recreation,Academic,0.2,0.5625,0.9,2
Arthur S. Keating Sports Center,Chemistry Research Building,8,Recreation,Academic,0.5,0.5625,2.25,0
Arthur S. Keating Sports Center,Chemistry Research Building,9,Recreation,Academic,0.5,0.5625,2.25,4
Arthur S. Keating Sports Center,Chemistry Research Building,10,Recreation,Academic,0.5,0.5625,2.25,3
Arthur S. Keating Sports Center,Chemistry Research Building,11,Recreation,Academic,0.5,0.5625,2.25,4
Arthur S. Keating Sports Center,Chemistry Research Building,12,Recreation,Academic,0.5,0.5625,2.25,1
Arthur S. Keating Sports Center,Chemistry Research Building,13,Recreation,Academic,0.5,0.5625,2.25,1
Arthur S. Keating Sports Center,Chemistry Research Building,14,Recreation,Academic,0.5,0.5625,2.25,1
Arthur S. Keating Sports Center,Chemistry Research Building,15,Recreation,Academic,0.5,0.5625,2.25,4
Arthur S. Keating Sports Center,Chemistry Research Building,16,Recreation,Academic,0.5,0.5625,2.25,2
Arthur S. Keating Sports Center,Chemistry Research Building,17,Recreation,Academic,0.5,0.5625,2.25,1
Arthur S. Keating Sports Center,Chemistry Research Building,18,Recreation,Academic,0.5,0.5625,2.25,1
Arthur S. Keating Sports Center,Chemistry Research Building,19,Recreation,Academic,0.2,0.5625,0.9,3
Arthur S. Keating Sports Center,Chemistry Research Building,20,Recreation,Academic,0.2,0.5625,0.9,2
Arthur S. Keating Sports Center,Chemistry Research Building,21,Recreation,Academic,0.2,0.5625,0.9,2
Arthur S. Keating Sports Center,Chemistry Research Building,22,Recreation,Academic,0.2,0.5625,0.9,1
Arthur S. Keating Sports Center,Cunningham Hall,7,Recreation,Residence,0.2,0.5625,0.9,1
Arthur S. Keating Sports Center,Cunningham Hall,8,Recreation,Residence,0.5,0.5625,2.25,4
Arthur S. Keating Sports Center,Cunningham Hall,9,Recreation,Residence,0.5,0.5625,2.25,1
Arthur S. Keating Sports Center,Cunningham Hall,10,Recreation,Residence,0.5,0.5625,2.25,2
Arthur S. Keating Sports Center,Cunningham Hall,11,Recreation,Residence,0.5,0.5625,2.25,0
Arthur S. Keating Sports Center,Cunningham Hall,12,Recreation,Residence,0.5,0.5625,2.25,5
Arthur S. Keating Sports Center,Cunningham Hall,13,Recreation,Residence,0.5,0.5625,2.25,2
Arthur S. Keating Sports Center,Cunningham Hall,14,Recreation,Residence,0.5,0.5625,2.25,7
